Date/Time,ZONE_0_SRF_0:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_0_GLZ_0_0B10DB01F72D42B1AAB0:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_1:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_2:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_3:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_4:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_5:Surface Inside Face Temperature [C](Hourly) 
 12/18  18:00:00,18.00543576960653,2.9834085360340625,18.489943394626775,18.3853958408279,18.48994339462678,17.942132375772514,18.319491313230569 
 12/18  19:00:00,17.899615234228024,2.7663867288038945,18.3374856853961,18.23325062837503,18.337485685396094,17.813338628867219,18.216625640287054 
 12/18  20:00:00,17.844093997895496,2.918456803804588,18.269619083518614,18.16658472810828,18.269619083518614,17.722606532348534,18.167313471244368 
 12/18  21:00:00,17.796651208980959,2.423663632348223,18.203366797768426,18.09925108963137,18.203366797768426,17.622303079596418,18.081362547186229 
 12/18  22:00:00,17.72804673592341,1.452308011872077,18.090901437796047,17.982913872034279,18.090901437796047,17.490796298259565,17.947828747044786 
 12/18  23:00:00,17.65635045008422,1.0329548848938828,17.984774208435725,17.874062319145386,17.984774208435725,17.36977752855873,17.8499176764354 
 12/18  24:00:00,17.600765671486398,0.8271597563889751,17.913615832721086,17.801740655282989,17.91361583272108,17.27118444430484,17.78305122126407 
 12/19  01:00:00,17.545408480570303,0.3987421409446957,17.840538892480294,17.72685490914789,17.84053889248029,17.169318290546295,17.702341756322338 
 12/19  02:00:00,17.489913044614324,0.09702178868417377,17.769919239673638,17.654528438771754,17.76991923967363,17.072434438832976,17.63146454017681 
 12/19  03:00:00,17.43714532272118,-0.2858353969844056,17.7043450008839,17.587293278938814,17.7043450008839,16.97964833625965,17.560440505089806 
 12/19  04:00:00,17.38013215511592,-0.7076834829505572,17.63151587667123,17.51243175780512,17.63151587667123,16.883787559446124,17.48385277636378 
 12/19  05:00:00,17.32914203398379,-0.8550245454750799,17.574181818646545,17.453944229171893,17.574181818646549,16.801993658931094,17.43153760406511 
 12/19  06:00:00,17.291139747128775,-0.76706210825292,17.543018048212198,17.42265338560714,17.5430180482122,16.740614674342259,17.406338753932109 
 12/19  07:00:00,17.2542077950277,-1.092888575351547,17.507313799860527,17.385932771878698,17.50731379986052,16.6751213635731,17.357638919586177 
 12/19  08:00:00,17.257733156304185,-1.4617665811877033,17.52326999643166,17.402031879623036,17.52326999643166,16.667991546612404,17.39026645643682 
 12/19  09:00:00,17.428300025461245,-0.6295743337997806,17.787289606663824,17.67272238326562,17.787289606663824,16.859246184983303,17.667566370992338 
